epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2586,1.92518,3.46461,1.93401,0.3938,0.2519,0.25107,0.11537,2.29015,2.60083,2.31272,0.000333075,0.000333075,0.000333075
2,83.1973,1.88743,2.31159,1.86975,0.42432,0.37434,0.33809,0.14418,2.2431,2.50655,2.31481,0.000659811,0.000659811,0.000659811
3,122.486,1.93519,2.27229,1.88057,0.34756,0.38133,0.30769,0.14291,2.21863,2.46365,2.24683,0.000979947,0.000979947,0.000979947
4,161.577,1.87625,2.24584,1.86821,0.50696,0.28583,0.31793,0.14156,2.30394,2.47977,2.32714,0.0009703,0.0009703,0.0009703
5,200.808,1.90653,2.16498,1.85563,0.3584,0.34514,0.32908,0.14228,2.23985,2.376,2.31892,0.0009604,0.0009604,0.0009604
6,239.913,1.84322,2.10961,1.8346,0.28122,0.3765,0.30433,0.14279,2.29202,2.59741,2.33462,0.0009505,0.0009505,0.0009505
7,279.24,1.86428,2.05988,1.82379,0.38775,0.38639,0.34081,0.14835,2.38272,2.40426,2.43832,0.0009406,0.0009406,0.0009406
8,318.56,1.81579,2.01935,1.80396,0.4417,0.38329,0.38545,0.16289,2.2399,2.33601,2.29789,0.0009307,0.0009307,0.0009307
9,357.759,1.79583,1.97111,1.78365,0.40084,0.3579,0.33161,0.1533,2.31819,2.40707,2.38317,0.0009208,0.0009208,0.0009208
10,397.168,1.82181,1.96231,1.80056,0.35032,0.34545,0.33652,0.16114,2.3717,2.34309,2.36685,0.0009109,0.0009109,0.0009109
11,436.774,1.74915,1.97471,1.77155,0.6286,0.30481,0.40739,0.17176,2.34225,2.40843,2.42241,0.000901,0.000901,0.000901
12,476.311,1.73145,1.86237,1.73867,0.36371,0.45252,0.36855,0.15197,2.32591,2.47341,2.38189,0.0008911,0.0008911,0.0008911
13,515.774,1.74563,1.82061,1.76194,0.43928,0.38837,0.39747,0.19854,2.29559,2.30749,2.38808,0.0008812,0.0008812,0.0008812
14,555.393,1.72678,1.8513,1.7208,0.48788,0.36933,0.38648,0.1799,2.36351,2.43091,2.43843,0.0008713,0.0008713,0.0008713
15,594.811,1.71067,1.80781,1.70813,0.42151,0.44619,0.40817,0.18051,2.3425,2.33742,2.41625,0.0008614,0.0008614,0.0008614
16,634.3,1.72168,1.79509,1.69261,0.36439,0.37412,0.3913,0.18764,2.33543,2.32355,2.38689,0.0008515,0.0008515,0.0008515
17,673.779,1.68692,1.74011,1.70586,0.44735,0.36979,0.38801,0.16041,2.41264,2.36682,2.44759,0.0008416,0.0008416,0.0008416
18,713.14,1.67912,1.78605,1.69749,0.38512,0.38173,0.37496,0.17562,2.35723,2.31329,2.40215,0.0008317,0.0008317,0.0008317
19,752.406,1.67152,1.69999,1.667,0.42344,0.36835,0.37128,0.16376,2.45372,2.56048,2.54572,0.0008218,0.0008218,0.0008218
20,791.765,1.65716,1.71846,1.67922,0.35838,0.40918,0.36402,0.15776,2.47249,2.46866,2.52193,0.0008119,0.0008119,0.0008119
21,831.281,1.67279,1.68912,1.67714,0.30184,0.4151,0.35091,0.15057,2.44888,2.35572,2.48403,0.000802,0.000802,0.000802
22,870.79,1.63184,1.66739,1.65831,0.52074,0.37652,0.38618,0.16359,2.4174,2.40999,2.51404,0.0007921,0.0007921,0.0007921
23,910.209,1.62866,1.64081,1.64935,0.74289,0.22465,0.31625,0.14007,2.43705,2.50714,2.62703,0.0007822,0.0007822,0.0007822
24,949.62,1.60588,1.61323,1.62764,0.32369,0.42699,0.38583,0.16816,2.36311,2.4846,2.4438,0.0007723,0.0007723,0.0007723
25,989.112,1.59835,1.57765,1.63635,0.50669,0.31642,0.36166,0.16639,2.46055,2.42281,2.51425,0.0007624,0.0007624,0.0007624
26,1028.64,1.60451,1.61773,1.61677,0.38582,0.33904,0.35179,0.16512,2.43209,2.4014,2.52402,0.0007525,0.0007525,0.0007525
27,1068.18,1.60204,1.57184,1.62944,0.32384,0.36895,0.33828,0.16127,2.48966,2.55763,2.5593,0.0007426,0.0007426,0.0007426
28,1107.49,1.58048,1.56282,1.61619,0.50225,0.35499,0.391,0.18032,2.37509,2.40182,2.48274,0.0007327,0.0007327,0.0007327
29,1146.95,1.57553,1.55957,1.60684,0.47441,0.39442,0.38446,0.17037,2.42737,2.39598,2.52433,0.0007228,0.0007228,0.0007228
30,1186.4,1.55872,1.53377,1.60315,0.50486,0.35247,0.3996,0.19339,2.41309,2.48341,2.51879,0.0007129,0.0007129,0.0007129
31,1225.68,1.5701,1.52318,1.59876,0.54775,0.34886,0.39526,0.18397,2.40147,2.41841,2.50241,0.000703,0.000703,0.000703
32,1265.04,1.56746,1.53832,1.59865,0.55809,0.40601,0.4242,0.17188,2.43021,2.41388,2.47751,0.0006931,0.0006931,0.0006931
33,1304.31,1.57197,1.51097,1.59196,0.6924,0.33986,0.43065,0.19011,2.48009,2.51864,2.5665,0.0006832,0.0006832,0.0006832
34,1343.57,1.5409,1.49092,1.56619,0.36842,0.47882,0.38761,0.17852,2.48678,2.45922,2.59259,0.0006733,0.0006733,0.0006733
35,1382.78,1.49863,1.42851,1.53177,0.53109,0.36814,0.37861,0.17356,2.43176,2.579,2.53171,0.0006634,0.0006634,0.0006634
36,1422.04,1.54503,1.49839,1.57083,0.467,0.37345,0.37265,0.18374,2.45852,2.55853,2.56827,0.0006535,0.0006535,0.0006535
37,1461.53,1.52247,1.4433,1.56795,0.49369,0.46409,0.43367,0.20914,2.42213,2.42872,2.51502,0.0006436,0.0006436,0.0006436
38,1501,1.49261,1.44204,1.54432,0.48301,0.44215,0.45761,0.21024,2.44361,2.38196,2.50675,0.0006337,0.0006337,0.0006337
39,1540.47,1.49197,1.41617,1.53706,0.40122,0.46498,0.40294,0.19062,2.47981,2.33597,2.70623,0.0006238,0.0006238,0.0006238
40,1579.78,1.49972,1.39087,1.54202,0.51431,0.42262,0.44032,0.19817,2.42085,2.53755,2.53827,0.0006139,0.0006139,0.0006139
41,1619.11,1.4871,1.37409,1.50965,0.43241,0.43942,0.41476,0.19877,2.40693,2.45263,2.54319,0.000604,0.000604,0.000604
42,1658.45,1.49265,1.42751,1.54109,0.63139,0.36932,0.43536,0.21439,2.44971,2.35796,2.57662,0.0005941,0.0005941,0.0005941
43,1697.89,1.47442,1.39001,1.53808,0.65851,0.39815,0.43216,0.19112,2.45929,2.39201,2.57314,0.0005842,0.0005842,0.0005842
44,1737.32,1.45989,1.36518,1.52069,0.5172,0.3906,0.41607,0.19654,2.51717,2.4419,2.69017,0.0005743,0.0005743,0.0005743
45,1776.67,1.46805,1.31829,1.49373,0.58238,0.39772,0.45045,0.19268,2.44856,2.35236,2.558,0.0005644,0.0005644,0.0005644
46,1816.03,1.45837,1.34531,1.5052,0.46345,0.4404,0.4539,0.20789,2.42533,2.45682,2.60652,0.0005545,0.0005545,0.0005545
47,1855.4,1.45165,1.37112,1.50667,0.49791,0.40778,0.41867,0.18581,2.4836,2.43344,2.66227,0.0005446,0.0005446,0.0005446
48,1894.79,1.44646,1.33931,1.49071,0.47231,0.43519,0.41768,0.18516,2.50093,2.58719,2.65803,0.0005347,0.0005347,0.0005347
49,1934.14,1.44283,1.35653,1.50029,0.48492,0.45483,0.43729,0.19395,2.43076,2.45519,2.5644,0.0005248,0.0005248,0.0005248
50,1973.26,1.44463,1.32617,1.48865,0.43416,0.4498,0.4214,0.18726,2.48675,2.40762,2.61337,0.0005149,0.0005149,0.0005149
51,2012.71,1.4191,1.31571,1.47512,0.56853,0.43042,0.429,0.19984,2.45809,2.45024,2.65232,0.000505,0.000505,0.000505
52,2052.16,1.44458,1.29978,1.50597,0.54355,0.35828,0.41186,0.19396,2.40646,2.51052,2.55248,0.0004951,0.0004951,0.0004951
53,2091.44,1.3989,1.3109,1.47825,0.48749,0.41909,0.41888,0.19424,2.38534,2.42945,2.56759,0.0004852,0.0004852,0.0004852
54,2130.82,1.37857,1.20033,1.45908,0.48728,0.44924,0.43574,0.19707,2.48556,2.55292,2.63294,0.0004753,0.0004753,0.0004753
55,2170.11,1.40838,1.26933,1.48938,0.44863,0.4571,0.43225,0.19798,2.45315,2.46832,2.62937,0.0004654,0.0004654,0.0004654
56,2209.43,1.42255,1.27897,1.48675,0.54691,0.36874,0.4123,0.19926,2.49876,2.62036,2.65753,0.0004555,0.0004555,0.0004555
57,2248.84,1.38645,1.25567,1.46219,0.47165,0.42807,0.40226,0.19986,2.49282,2.56177,2.649,0.0004456,0.0004456,0.0004456
58,2288.05,1.38397,1.26567,1.45707,0.54692,0.36904,0.3949,0.19898,2.5059,2.63962,2.69371,0.0004357,0.0004357,0.0004357
59,2327.48,1.40329,1.25705,1.45282,0.54112,0.38738,0.4312,0.2073,2.52711,2.54579,2.73225,0.0004258,0.0004258,0.0004258
60,2367.11,1.36327,1.20345,1.42251,0.4685,0.40436,0.39325,0.18183,2.4375,2.56203,2.61424,0.0004159,0.0004159,0.0004159
