epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6932,2.37259,2.87483,2.32018,0.14926,0.27439,0.12585,0.03237,2.65053,4.01555,2.73808,0.000665598,0.000665598,0.000665598
2,42.8015,2.37725,2.61017,2.32413,0.18871,0.2378,0.15975,0.05695,2.5657,5.42651,2.8588,0.00131028,0.00131028,0.00131028
3,62.6459,2.31569,2.48576,2.20772,0.15086,0.23171,0.09962,0.03294,2.45583,3.18674,2.55418,0.00193297,0.00193297,0.00193297
4,82.3342,2.23509,2.41538,2.17103,0.27499,0.16463,0.15912,0.06003,2.22803,3.43981,2.29435,0.001901,0.001901,0.001901
5,102.203,2.14722,2.30264,2.11907,0.22966,0.40244,0.23225,0.09884,2.20182,2.64818,2.26975,0.001868,0.001868,0.001868
6,123.064,2.08684,2.199,2.02374,0.34036,0.18902,0.19595,0.06673,2.43928,3.66583,2.46643,0.001835,0.001835,0.001835
7,150.935,2.06187,2.21624,2.02655,0.19938,0.36585,0.17805,0.06668,2.17566,2.91069,2.25184,0.001802,0.001802,0.001802
8,179.083,2.01661,2.0586,1.97418,0.29025,0.24687,0.19903,0.08123,2.29262,2.98381,2.35598,0.001769,0.001769,0.001769
9,206.892,1.96712,2.00969,1.9382,0.23234,0.39634,0.21776,0.07493,2.25786,2.7363,2.31598,0.001736,0.001736,0.001736
10,234.854,1.93984,1.91811,1.92747,0.24456,0.38415,0.23269,0.08572,2.25088,2.44167,2.29281,0.001703,0.001703,0.001703
11,262.893,1.91196,1.86412,1.88826,0.30564,0.37805,0.27991,0.09422,2.23018,2.46676,2.31792,0.00167,0.00167,0.00167
12,290.783,1.89883,1.83513,1.87823,0.43148,0.42683,0.35589,0.13428,2.15724,2.20126,2.21084,0.001637,0.001637,0.001637
