epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5823,2.15454,2.58269,2.28253,0.31263,0.36053,0.28982,0.11471,2.22775,2.34594,2.44127,0.00066453,0.00066453,0.00066453
2,29.4457,2.03745,2.09352,2.10127,0.37751,0.2622,0.27093,0.09519,2.29847,2.61656,2.41563,0.00130923,0.00130923,0.00130923
3,42.9494,2.02088,2.02299,2.09737,0.31634,0.28779,0.24479,0.08689,2.25112,2.51283,2.4832,0.00193193,0.00193193,0.00193193
4,56.3839,1.99051,1.90243,2.04133,0.36485,0.34756,0.28924,0.09273,2.34457,2.37396,2.4541,0.001901,0.001901,0.001901
5,69.8044,1.88514,1.79637,1.9769,0.38206,0.34756,0.29755,0.11055,2.31372,2.43216,2.38358,0.001868,0.001868,0.001868
6,83.282,1.84569,1.70476,1.90645,0.54248,0.29878,0.32435,0.12301,2.33334,2.4926,2.44037,0.001835,0.001835,0.001835
7,96.7236,1.81452,1.65345,1.89989,0.32666,0.32835,0.28461,0.11489,2.28763,2.33186,2.3798,0.001802,0.001802,0.001802
8,110.171,1.76152,1.52736,1.83214,0.36584,0.32317,0.28423,0.09934,2.30604,2.46482,2.43049,0.001769,0.001769,0.001769
9,123.561,1.71122,1.48015,1.81528,0.41861,0.33537,0.30957,0.11293,2.4175,2.27567,2.54878,0.001736,0.001736,0.001736
10,137.002,1.68215,1.41232,1.79488,0.28323,0.29878,0.22381,0.07395,2.5329,2.69719,2.60205,0.001703,0.001703,0.001703
11,150.39,1.67996,1.42372,1.77261,0.33248,0.40854,0.33357,0.11369,2.48061,2.33304,2.60658,0.00167,0.00167,0.00167
12,163.799,1.6219,1.34132,1.72811,0.32566,0.33537,0.26185,0.09224,2.45994,2.56979,2.48442,0.001637,0.001637,0.001637
13,177.237,1.58029,1.29305,1.69769,0.31074,0.29268,0.21962,0.07703,2.53498,2.58203,2.7452,0.001604,0.001604,0.001604
14,190.631,1.57272,1.28824,1.70607,0.46711,0.31098,0.33372,0.12197,2.44448,2.26869,2.55674,0.001571,0.001571,0.001571
15,204.043,1.54713,1.23645,1.67688,0.34728,0.38415,0.24804,0.08916,2.59149,2.59679,2.70978,0.001538,0.001538,0.001538
16,217.469,1.50994,1.18423,1.65303,0.29892,0.31979,0.25215,0.09265,2.51275,2.55596,2.64896,0.001505,0.001505,0.001505
17,230.917,1.51698,1.20462,1.66667,0.34747,0.26829,0.23325,0.07951,2.52746,2.6918,2.68193,0.001472,0.001472,0.001472
18,244.301,1.50436,1.16013,1.6461,0.43613,0.34146,0.3026,0.10927,2.40771,2.59789,2.54264,0.001439,0.001439,0.001439
19,257.726,1.46043,1.10096,1.6069,0.30883,0.35366,0.22119,0.07697,2.54199,2.5613,2.71133,0.001406,0.001406,0.001406
20,271.195,1.43423,1.10432,1.58475,0.266,0.31821,0.19829,0.07087,2.60658,2.70162,2.74686,0.001373,0.001373,0.001373
21,284.59,1.41296,1.06759,1.55596,0.4894,0.35976,0.32681,0.11294,2.52333,2.3944,2.73834,0.00134,0.00134,0.00134
22,298.053,1.40702,1.02438,1.55809,0.47133,0.35366,0.31899,0.1108,2.60941,2.40994,2.79863,0.001307,0.001307,0.001307
23,311.455,1.36787,1.02714,1.5402,0.44814,0.28659,0.25782,0.09377,2.60027,2.46677,2.7497,0.001274,0.001274,0.001274
24,324.936,1.37205,1.02541,1.52585,0.37931,0.40854,0.30341,0.10519,2.62063,2.31065,2.87492,0.001241,0.001241,0.001241
25,338.343,1.35691,1.0025,1.51297,0.48227,0.36921,0.365,0.11353,2.64104,2.17956,2.81004,0.001208,0.001208,0.001208
26,351.76,1.35567,0.99546,1.50642,0.36374,0.37805,0.2891,0.09612,2.58551,2.32179,2.77272,0.001175,0.001175,0.001175
27,365.181,1.31629,0.94315,1.49095,0.48318,0.26829,0.273,0.08328,2.6885,2.37924,2.92435,0.001142,0.001142,0.001142
28,378.716,1.3181,0.92433,1.46563,0.44721,0.29878,0.29081,0.09855,2.62724,2.41653,2.84429,0.001109,0.001109,0.001109
29,392.139,1.28396,0.93481,1.46643,0.35842,0.37195,0.31335,0.10435,2.66424,2.30372,2.89384,0.001076,0.001076,0.001076
30,405.548,1.29527,0.93871,1.46254,0.3673,0.39634,0.30111,0.09191,2.63003,2.49264,2.86342,0.001043,0.001043,0.001043
31,418.962,1.25021,0.88531,1.43095,0.41839,0.34146,0.31281,0.09877,2.69298,2.37402,2.95784,0.00101,0.00101,0.00101
32,432.401,1.27135,0.89797,1.46552,0.47243,0.31098,0.32731,0.10802,2.66723,2.2766,2.93218,0.000977,0.000977,0.000977
33,445.854,1.24126,0.87828,1.43489,0.37996,0.45732,0.34261,0.11702,2.61825,2.22415,2.86653,0.000944,0.000944,0.000944
34,459.237,1.26,0.86814,1.44328,0.43962,0.27439,0.26966,0.09399,2.67689,2.42335,2.95576,0.000911,0.000911,0.000911
35,472.64,1.23481,0.83398,1.42648,0.37158,0.29268,0.26385,0.08512,2.70375,2.56714,2.9704,0.000878,0.000878,0.000878
36,486.101,1.21778,0.83437,1.41212,0.43877,0.33537,0.30373,0.10543,2.6695,2.43032,3.04436,0.000845,0.000845,0.000845
37,499.506,1.17445,0.80649,1.37333,0.39606,0.31098,0.28525,0.09534,2.70187,2.38029,3.09895,0.000812,0.000812,0.000812
38,512.971,1.16573,0.78126,1.38337,0.43464,0.3047,0.26783,0.0942,2.61194,2.55866,2.89126,0.000779,0.000779,0.000779
39,526.364,1.1886,0.81699,1.39104,0.37551,0.35976,0.30348,0.10504,2.62157,2.40623,2.88462,0.000746,0.000746,0.000746
40,539.814,1.15491,0.77588,1.35752,0.47432,0.28659,0.27357,0.08681,2.71785,2.67509,3.02735,0.000713,0.000713,0.000713
41,553.215,1.15752,0.78609,1.36415,0.52875,0.31098,0.29287,0.09384,2.73825,2.55211,3.04428,0.00068,0.00068,0.00068
42,566.635,1.14555,0.77746,1.35641,0.37214,0.31707,0.25364,0.0821,2.7893,2.54021,3.08341,0.000647,0.000647,0.000647
43,580.054,1.12524,0.73863,1.33884,0.50996,0.34146,0.33407,0.11219,2.66882,2.40921,3.00282,0.000614,0.000614,0.000614
44,593.477,1.10648,0.71927,1.31688,0.43565,0.37805,0.30913,0.10628,2.75297,2.53034,3.04515,0.000581,0.000581,0.000581
45,606.954,1.11173,0.72935,1.33975,0.45718,0.37195,0.3113,0.10807,2.59641,2.46562,2.87971,0.000548,0.000548,0.000548
46,620.388,1.12453,0.71525,1.32613,0.55123,0.34146,0.32975,0.11108,2.68631,2.46864,3.09557,0.000515,0.000515,0.000515
47,633.774,1.11585,0.7183,1.31934,0.49,0.31707,0.28602,0.10012,2.72198,2.55729,3.0742,0.000482,0.000482,0.000482
48,647.162,1.08067,0.71383,1.31297,0.40605,0.35366,0.31073,0.10024,2.74469,2.55442,3.13397,0.000449,0.000449,0.000449
49,660.59,1.07966,0.70287,1.30446,0.50116,0.34146,0.30663,0.09281,2.79274,2.54838,3.18682,0.000416,0.000416,0.000416
