epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1227,2.12082,2.59781,2.22319,0.40653,0.22974,0.23762,0.08047,2.25447,3.01145,2.33912,0.000662393,0.000662393,0.000662393
2,25.2207,1.9876,1.94652,2.02493,0.31653,0.29878,0.24348,0.0895,2.27463,2.65329,2.40286,0.00129617,0.00129617,0.00129617
3,37.0806,1.93466,1.84633,1.96802,0.44765,0.40244,0.32376,0.11794,2.24693,2.28963,2.33547,0.00189694,0.00189694,0.00189694
4,48.9182,1.86297,1.73096,1.90125,0.46419,0.34756,0.37095,0.13925,2.29064,2.32875,2.34942,0.0018515,0.0018515,0.0018515
5,60.7799,1.80277,1.59219,1.85278,0.36726,0.37195,0.32453,0.10939,2.35765,2.26916,2.46625,0.001802,0.001802,0.001802
6,72.5405,1.7582,1.49993,1.83416,0.36868,0.34756,0.28532,0.09191,2.4085,2.33189,2.55206,0.0017525,0.0017525,0.0017525
7,84.3273,1.70706,1.45167,1.80746,0.30015,0.21341,0.16215,0.05422,2.6629,3.10489,2.64364,0.001703,0.001703,0.001703
8,96.0567,1.65406,1.37792,1.7308,0.42746,0.32317,0.27627,0.09919,2.35464,2.30931,2.46648,0.0016535,0.0016535,0.0016535
9,107.787,1.58827,1.26506,1.70901,0.49424,0.31098,0.2842,0.09042,2.44504,2.4443,2.55481,0.001604,0.001604,0.001604
10,119.506,1.58511,1.25471,1.67119,0.30627,0.2378,0.17845,0.0639,2.64207,2.63729,2.67029,0.0015545,0.0015545,0.0015545
11,131.256,1.53725,1.17947,1.63481,0.36503,0.32927,0.26019,0.0915,2.62976,2.72356,2.7668,0.001505,0.001505,0.001505
12,142.986,1.52655,1.18924,1.63404,0.46057,0.40854,0.36106,0.10434,2.60563,2.17645,2.66344,0.0014555,0.0014555,0.0014555
13,154.737,1.49156,1.11004,1.59595,0.37519,0.34756,0.28496,0.11325,2.50502,2.42718,2.65775,0.001406,0.001406,0.001406
14,166.405,1.47238,1.07373,1.58215,0.39262,0.29564,0.26125,0.08627,2.62659,2.52463,2.70167,0.0013565,0.0013565,0.0013565
15,178.124,1.41344,1.04921,1.55337,0.50044,0.28049,0.277,0.09326,2.61152,2.48994,2.72357,0.001307,0.001307,0.001307
16,189.844,1.39588,0.9894,1.52747,0.39985,0.34756,0.29873,0.08909,2.62519,2.37206,2.69491,0.0012575,0.0012575,0.0012575
17,201.597,1.38473,1.00842,1.53259,0.42736,0.34146,0.30274,0.09732,2.65394,2.38178,2.82904,0.001208,0.001208,0.001208
18,213.503,1.36137,0.97384,1.5,0.40987,0.27439,0.24392,0.07901,2.55956,2.57902,2.70184,0.0011585,0.0011585,0.0011585
19,225.283,1.28926,0.91528,1.43726,0.34378,0.35976,0.26507,0.08627,2.61811,2.54504,2.76955,0.001109,0.001109,0.001109
20,237.023,1.30209,0.92939,1.45392,0.46451,0.38415,0.33592,0.10136,2.67678,2.34902,2.84334,0.0010595,0.0010595,0.0010595
21,248.802,1.29937,0.91166,1.4374,0.39535,0.40854,0.32763,0.10042,2.69035,2.30883,2.91181,0.00101,0.00101,0.00101
22,260.552,1.27402,0.88257,1.46119,0.40835,0.37805,0.33202,0.11191,2.61588,2.33192,2.80705,0.0009605,0.0009605,0.0009605
23,272.251,1.26743,0.87298,1.42062,0.56222,0.33537,0.35359,0.11446,2.6091,2.32102,2.85311,0.000911,0.000911,0.000911
24,283.966,1.22792,0.82928,1.40707,0.45717,0.31707,0.27133,0.08294,2.71307,2.72759,2.96026,0.0008615,0.0008615,0.0008615
25,295.661,1.21348,0.8337,1.38673,0.46026,0.35358,0.30833,0.10219,2.56975,2.5036,2.82704,0.000812,0.000812,0.000812
26,307.37,1.19269,0.80328,1.3658,0.49772,0.39634,0.36214,0.12435,2.5852,2.27193,2.83836,0.0007625,0.0007625,0.0007625
27,319.09,1.16946,0.79477,1.36842,0.58298,0.37195,0.38259,0.12063,2.51459,2.37872,2.71112,0.000713,0.000713,0.000713
28,330.94,1.15118,0.77314,1.33054,0.41516,0.36585,0.31022,0.09572,2.59668,2.53697,2.80494,0.0006635,0.0006635,0.0006635
29,342.739,1.15598,0.75327,1.34679,0.5132,0.39024,0.37286,0.11133,2.58754,2.36504,2.84853,0.000614,0.000614,0.000614
30,354.481,1.12921,0.73753,1.31752,0.47974,0.35976,0.30235,0.09879,2.61532,2.57212,2.83292,0.0005645,0.0005645,0.0005645
31,381.55,1.20145,0.76138,1.40633,0.5337,0.37805,0.34762,0.11008,2.59089,2.42449,2.82624,0.000515,0.000515,0.000515
32,393.348,1.14667,0.70962,1.35561,0.53599,0.39634,0.36608,0.11094,2.59349,2.41974,2.87493,0.0004655,0.0004655,0.0004655
33,405.147,1.13861,0.69296,1.35303,0.47642,0.34756,0.31669,0.09513,2.61768,2.52582,2.86498,0.000416,0.000416,0.000416
34,416.877,1.08348,0.65578,1.30184,0.5087,0.31707,0.30832,0.09147,2.66956,2.44853,2.99351,0.0003665,0.0003665,0.0003665
35,428.677,1.10629,0.65422,1.33014,0.53718,0.38218,0.35171,0.11145,2.6357,2.20819,2.97523,0.000317,0.000317,0.000317
36,440.607,1.06673,0.63747,1.29175,0.55209,0.35366,0.34224,0.10502,2.57988,2.32155,2.87306,0.0002675,0.0002675,0.0002675
37,452.366,1.07069,0.63428,1.28112,0.57369,0.35976,0.34904,0.10458,2.60436,2.30629,2.88999,0.000218,0.000218,0.000218
38,464.166,1.05549,0.61482,1.27691,0.52553,0.35796,0.3412,0.09798,2.62386,2.34985,2.9664,0.0001685,0.0001685,0.0001685
39,475.865,1.04071,0.61515,1.2667,0.53467,0.35366,0.33063,0.0944,2.66687,2.44377,3.02801,0.000119,0.000119,0.000119
40,487.579,1.02007,0.593,1.25578,0.47927,0.38415,0.32768,0.09524,2.64142,2.45246,3.01421,6.95e-05,6.95e-05,6.95e-05
